Class,n_annotations
Turf_filamentous (turfil),4072
turf_sedimented (tursed),1994
Others_cca (othcca),1442
Peyssonnelia_cca (pescca),1105
Sand_unstable_substrate (sandus),740
Favites_encrusting (faienc),375
Porites_encrusting (potenc),374
Montipora_encrusting (monenc),351
Sinularia/Cladiella/Klyxum_... (sindig),348
Thalassia_hemprichii_seagrass (thalhem),299
Acropora_tabular (acrtab),287
Shadow_TWS (shatws),259
Porites_massive (potmas),259
Montipora_foliose (monfol),253
limestone_stable_substrate (limess),233
Sponge_encrusting (spoenc),202
Pocillopora_bushy (pocbus),174
Dipsastraea_encrusting (dipenc),165
silt_unstable_substrate (siltus),152
Acropora_arborescent (acrarb),150
Palythoa_massive (palmas),148
Platygyra_encrusting (plaenc),129
Cyphastrea_encrusting (cypenc),115
Palythoa_encrusting (palenc),108
Red_algae_corticated_foliose (redcof),107
Acropora_encrusting (acrenc),104
Pachyseris_encrusting (pacenc),100
Sarcophyton_lobate (sarlob),92
rubble_unstable_substrate (rubbus),91
Marginisporum_articulated_c... (marart),90
Litophyton_bushy (litbus),87
Acropora (bushy) (acrbus),83
Cyanobacteria_filamentous (cyafil),83
Millepora_encrusting (milenc),80
Porites_columnar (potcol),80
Clavularia_clustered (claclu),74
Isopora_encrusting (ispenc),73
Crinoidae_other_life (crioth),70
Sponge_massive (spomas),62
Unknown_TWS (unktws),61
Echinophyllia_encrusting (echenc),53
hard_coral_encrusting (hacenc),47
Goniastrea_encrusting (gonenc),47
Stylophora_bushy (stybus),46
Seriatopora_bushy (serbus),44
Echinopora_foliose (ecofol),37
Astreopora_encrusting (astenc),36
Laurencia_corticated_macrop... (laucom),36
Echinopora_encrusting (ecoenc),34
Padina_corticated_foliose (padcof),33
OTHER,649
