Class,Turf_filamentous (turfil),turf_sedimented (tursed),Others_cca (othcca),Peyssonnelia_cca (pescca),Sand_unstable_substrate (sandus),Sinularia/Cladiella/Klyxum_... (sindig),Thalassia_hemprichii_seagrass (thalhem),Favites_encrusting (faienc),Montipora_encrusting (monenc),Porites_encrusting (potenc),Acropora_tabular (acrtab),Montipora_foliose (monfol),Porites_massive (potmas),Shadow_TWS (shatws),Pocillopora_bushy (pocbus),limestone_stable_substrate (limess),Sponge_encrusting (spoenc),silt_unstable_substrate (siltus),Acropora_arborescent (acrarb),Palythoa_massive (palmas),Dipsastraea_encrusting (dipenc),Red_algae_corticated_foliose (redcof),Platygyra_encrusting (plaenc),Palythoa_encrusting (palenc),Pachyseris_encrusting (pacenc),Cyphastrea_encrusting (cypenc),Litophyton_bushy (litbus),Sarcophyton_lobate (sarlob),Marginisporum_articulated_c... (marart),rubble_unstable_substrate (rubbus),Porites_columnar (potcol),Acropora (bushy) (acrbus),Crinoidae_other_life (crioth),Clavularia_clustered (claclu),Cyanobacteria_filamentous (cyafil),Millepora_encrusting (milenc),Acropora_encrusting (acrenc),Sponge_massive (spomas),Goniastrea_encrusting (gonenc),Isopora_encrusting (ispenc),Stylophora_bushy (stybus),Unknown_TWS (unktws),Echinophyllia_encrusting (echenc),Echinopora_foliose (ecofol),Padina_corticated_foliose (padcof),Seriatopora_bushy (serbus),Platygyra_massive (plamas),Laurencia_corticated_macrop... (laucom),hard_coral_encrusting (hacenc),Favites_massive (faimas),OTHER
Turf_filamentous (turfil),3290,227,196,155,26,4,14,9,0,0,4,15,0,1,14,7,1,4,9,0,0,1,5,3,7,0,0,0,11,1,3,0,5,1,2,2,0,1,1,0,2,1,3,1,1,0,0,2,0,2,41
turf_sedimented (tursed),213,1544,29,39,93,3,6,1,1,0,1,13,0,3,6,1,0,1,8,0,0,0,1,0,0,0,0,0,7,0,0,0,6,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,10
Others_cca (othcca),228,62,995,81,3,3,1,5,0,0,0,3,0,1,16,5,1,0,0,1,1,0,1,1,1,0,1,0,4,5,2,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,16
Peyssonnelia_cca (pescca),149,51,91,756,0,1,8,1,3,0,0,8,1,0,1,9,1,0,0,2,0,0,0,0,11,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6
Sand_unstable_substrate (sandus),19,110,2,3,588,0,1,1,0,2,0,2,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Favites_encrusting (faienc),16,13,8,5,0,240,5,1,0,0,2,1,1,0,0,1,0,24,0,0,8,10,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,17
Porites_encrusting (potenc),18,15,5,6,0,2,183,87,1,0,1,1,7,3,3,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,3,12,0,0,0,0,0,1,2,0,0,0,1,0,0,0,2,14
Montipora_encrusting (monenc),32,4,1,3,0,0,37,212,2,0,4,2,2,22,2,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,4,4,0,0,0,4,0,0,0,0,8
Sinularia/Cladiella/Klyxum_... (sindig),5,2,0,3,1,0,2,1,309,0,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,8
Thalassia_hemprichii_seagrass (thalhem),1,0,0,1,1,0,0,0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
